id,name,rating,userRatingCount,formattedAddress,latitude,longitude,phone,businessStatus,primaryType,takeout,delivery,dineIn,curbsidePickup,reservable,servesLunch,servesDinner,servesBeer,servesWine,liveMusic,servesCocktails,goodForChildren,acceptsCreditCards,acceptsDebitCards,acceptsCashOnly,acceptsNfc,freeParkingLot,freeStreetParking,wheelchairAccessibleEntrance,wheelchairAccessibleRestroom,wheelchairAccessibleSeating,priceStartUSD,priceEndUSD,googleMapsUri
ChIJ-1yVVAbSD4gRH4SmYFIvs8U,Monti's,4.5,1000.0,"4757 N Talman Ave, Chicago, IL 60625, USA",41.9682268,-87.6948999,(773) 942-6012,OPERATIONAL,american_restaurant,True,True,True,,False,True,True,True,True,False,True,True,True,True,False,True,,True,True,True,True,10,20,https://maps.google.com/?cid=14245782077158360095&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-2C09J_RD4gRkKygWoB3jMQ,Flaco's Tacos,4.1,777.0,"1116 W Granville Ave, Chicago, IL 60660, USA",41.9947629,-87.6593111,(773) 262-8226,OPERATIONAL,mexican_restaurant,True,True,True,,False,True,True,True,,False,True,True,True,True,False,True,,,True,True,True,10,20,https://maps.google.com/?cid=14162826321333365904&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-2GXX28pDogR8oof0wT6oOs,Daisy's Po-Boy and Tavern,4.2,477.0,"5215 S Harper Ave, Chicago, IL 60615, USA",41.800430899999995,-87.5889202,(773) 675-8767,OPERATIONAL,restaurant,True,True,True,False,False,True,True,True,True,,True,True,True,True,False,True,,,True,True,True,20,30,https://maps.google.com/?cid=16978845493815642866&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-2i5ASDND4gRoNbM8qgEUi8,Mi Linda Hacienda,4.4,565.0,"4406 W Armitage Ave, Chicago, IL 60639, USA",41.9172298,-87.7368479,(773) 772-2372,OPERATIONAL,mexican_restaurant,True,True,True,,True,True,True,False,False,False,False,True,True,True,False,True,,True,True,True,True,10,20,https://maps.google.com/?cid=3409792991547414176&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-2KlBYjRD4gR6QIDw00tW1I,Konak Pizza & Grill,4.3,218.0,"5150 N Clark St, Chicago, IL 60640, USA",41.9759046,-87.668578,(773) 271-6688,OPERATIONAL,bar_and_grill,True,True,True,,True,True,True,True,True,False,True,False,True,True,False,True,,,True,True,True,,,https://maps.google.com/?cid=5934386745998246633&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-2qpdNYwDogRqiQGkV4hh1o,7-Eleven,2.8,30.0,"5953 W 63rd St, Chicago, IL 60638, USA",41.777536999999995,-87.7710565,(773) 585-4634,OPERATIONAL,convenience_store,,True,,,,,,,,,,,True,True,False,True,True,,True,True,,,,https://maps.google.com/?cid=6523219275313194154&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-2SHsrBJDogRX2DzfuqfIE4,Kenny's Irish Pub,4.5,680.0,"917 W 55th St, Countryside, IL 60525, USA",41.7900105,-87.88001919999999,(708) 354-0991,OPERATIONAL,pub,True,False,True,,False,True,True,True,True,False,True,,True,True,False,True,True,True,True,True,True,10,20,https://maps.google.com/?cid=5629675363714162783&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-2yRT6M1DogR_9jWSwsf3fY,Tamale Hut Cafe,4.3,230.0,"8300 Cermak Rd, Riverside, IL 60546, USA",41.8502778,-87.8313889,(708) 442-0948,OPERATIONAL,mexican_restaurant,True,,True,,False,True,True,False,False,,False,True,True,True,False,,True,True,True,True,True,10,20,https://maps.google.com/?cid=17788408236560799999&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-31z8hGuD4gRN3AdPZoVNQQ,Verzênay Chicago,4.7,530.0,"2507 N Lincoln Ave, Chicago, IL 60614, USA",41.927503099999996,-87.6513499,(773) 799-8312,OPERATIONAL,bakery,True,True,True,True,,,,,,,,,True,True,False,True,,True,True,True,,10,20,https://maps.google.com/?cid=303172302111862839&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-3iVxKXMD4gRr8jAahu4MgE,It's a hit,4.4,11.0,"5808 W North Ave, Chicago, IL 60639, USA",41.9097021,-87.7707446,(332) 397-6464,CLOSED_TEMPORARILY,restaurant,,,,,True,,,,,,,True,,,True,,,,,,,,,https://maps.google.com/?cid=86333770768107695&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-3mJEkfMD4gRijoqnwHFXtI,Burger King,3.6,658.0,"4125 N Milwaukee Ave, Chicago, IL 60641, USA",41.955852,-87.7497554,(872) 264-8270,OPERATIONAL,fast_food_restaurant,True,True,True,,,True,True,False,False,,False,True,True,True,False,True,True,,True,True,,10,20,https://maps.google.com/?cid=15158770006531652234&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-3PBW7XJD4gRy7pJnMu6Px4,Market Sandwich,3.3,4.0,"225 W Touhy Ave, Park Ridge, IL 60068, USA",42.011015500000006,-87.8249633,(847) 292-7100,OPERATIONAL,restaurant,True,False,True,,,True,,,,False,,True,,,False,,True,True,True,,,50,100,https://maps.google.com/?cid=2179666128333814475&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-3RdZwDND4gRwbejotVkZ5Q,Harold's Shrimp & Chicken,,,"West Diversey Avenue &, N Cicero Ave, Chicago, IL 60639, USA",41.9315334,-87.74667509999999,,OPERATIONAL,fast_food_restaurant,,,True,,,,,,,,,,,,,,,,,,,,,https://maps.google.com/?cid=10693626708933982145&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-3U_JmU0DogRacQVfv6VYA0,Las Islas Berwyn,3.7,428.0,"6516 Cermak Rd, Berwyn, IL 60402, USA",41.8508949,-87.7868271,(708) 795-1300,OPERATIONAL,seafood_restaurant,True,True,True,,True,True,True,True,True,False,True,True,True,True,False,True,,True,True,True,True,,,https://maps.google.com/?cid=963935240526873705&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-4DHcwDTD4gRBsqJszUU8fE,Billy Goat Tavern (Wrigleyville),4.5,67.0,"3724 N Clark St, Chicago, IL 60613, USA",41.9496794,-87.6587632,(872) 315-2949,OPERATIONAL,american_restaurant,True,True,True,False,,True,True,True,True,,True,,True,True,False,,,,,,,10,20,https://maps.google.com/?cid=17433737853405874694&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-4DPr-wrDogRqpu3-Q2XrdE,Salerno's Nautical Playpen,4.3,19.0,"3155 S DuSable Lake Shore Dr, Chicago, IL 60616, USA",41.8345926,-87.6043971,(312) 945-0551,OPERATIONAL,bar_and_grill,True,False,True,False,False,True,True,True,True,,True,True,,False,False,True,,,True,,,10,20,https://maps.google.com/?cid=15108898411177810858&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-4ggpsDSD4gRsygYGXIesWY,The Goddess and Grocer Bucktown,4.2,553.0,"1649 N Damen Ave, Chicago, IL 60647, USA",41.9119222,-87.67732649999999,(773) 342-3200,OPERATIONAL,cafe,True,True,True,,True,True,True,True,True,False,False,True,True,True,False,True,,True,True,True,,10,20,https://maps.google.com/?cid=7399729138142554291&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-4KCfkLND4gRxh00Vgm-168,Happy Star Chinese Cuisine,4.6,112.0,"4830 N Pulaski Rd #102, Chicago, IL 60630, USA",41.9691816,-87.7290316,(872) 329-7073,OPERATIONAL,chinese_restaurant,True,True,True,,,True,True,,,False,,True,True,True,False,,True,,,,,1,10,https://maps.google.com/?cid=12670805023940419014&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-4v5L8RJDogRYZ52lFE7_Y4,bp,3.7,29.0,"5300 LaGrange Rd, La Grange, IL 60525, USA",41.793732999999996,-87.86913580000001,(708) 469-7170,OPERATIONAL,gas_station,,,,,,,,,,,,,True,True,False,True,True,True,,True,,,,https://maps.google.com/?cid=10303456744062754401&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-4VbZJDMD4gR4Ikv65Oy8fY,Club Rosita,4.3,15.0,"2457 N Central Ave, Chicago, IL 60639, USA",41.925649199999995,-87.7658786,(773) 630-7263,OPERATIONAL,restaurant,True,False,True,,True,,,,,,,,,,,,,,,,,,,https://maps.google.com/?cid=17794199951093238240&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-55hZ3LJD4gR1wV2SHO4ypE,Brandys Gyros,4.2,1067.0,"6262 N Harlem Ave, Chicago, IL 60631, USA",41.9951502,-87.80706359999999,(773) 763-5862,OPERATIONAL,greek_restaurant,True,True,True,True,False,True,True,False,False,False,False,True,True,True,False,True,True,True,True,True,True,10,20,https://maps.google.com/?cid=10505411886071547351&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-5DoqQAtDogR37OhGQp2b9w,La Esperanza Restaurant Pilsen,4.5,630.0,"1864 S Blue Island Ave, Chicago, IL 60608, USA",41.8562812,-87.662697,(312) 226-9640,OPERATIONAL,mexican_restaurant,True,True,True,False,False,True,True,False,False,False,True,True,True,True,False,True,,True,True,True,True,10,20,https://maps.google.com/?cid=15884044196510807007&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-5IPg3rTD4gRvkpysCfL01g,AJ’s Bakery,5.0,2.0,"1612 W Irving Park Rd Ste 3, Chicago, IL 60613, USA",41.9544488,-87.6697259,(773) 665-8210,OPERATIONAL,restaurant,True,,True,,,,,,,,,,,,,,,,,,,,,https://maps.google.com/?cid=6400682866748050110&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-5VvIQsnDogRAk7XctRs4sA,Snacks 911,,,"1053 E 95th St, Chicago, IL 60619, USA",41.7219134,-87.5975958,(773) 982-6606,OPERATIONAL,meal_takeaway,True,True,False,True,,,,,,False,,,,,,,,,,,,,,https://maps.google.com/?cid=13898791059734351362&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-5WmLRkxDogRebj6QswLA6Y,Beecher’s Handmade Cheese,2.5,165.0,"MDW Terminal, S Cicero Ave, Chicago, IL 60629, USA",41.7879319,-87.74205920000001,,OPERATIONAL,american_restaurant,True,,True,,,True,,False,False,False,False,,True,True,False,True,,,True,,,10,20,https://maps.google.com/?cid=11962418007151130745&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-5wWHe7PD4gRUEbaXv3ygrw,Tom's on Edens,4.8,39.0,"6045 N Cicero Ave, Chicago, IL 60646, USA",41.9912401,-87.7480762,(872) 946-7177,OPERATIONAL,fast_food_restaurant,True,True,True,True,,True,True,,,,,True,True,True,False,True,True,True,,,True,10,20,https://maps.google.com/?cid=13583686596134848080&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-5XiJFI1DogRHF5HmNH5H5M,ZENSHI Handcrafted Sushi,,,"7111 Cermak Rd, Berwyn, IL 60402, USA",41.85024,-87.80220419999999,(708) 426-7150,OPERATIONAL,restaurant,True,,,,,,,,,False,,,True,True,False,,True,True,True,,,,,https://maps.google.com/?cid=10601466726451731996&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-63S7kjJD4gRimYwzmekSt4,Amitabul Simply Vegan,4.8,864.0,"6207 N Milwaukee Ave, Chicago, IL 60646, USA",41.9941281,-87.7844267,(773) 774-0276,OPERATIONAL,vegan_restaurant,True,True,True,,True,True,True,False,False,False,False,True,True,True,False,True,,True,True,True,True,10,20,https://maps.google.com/?cid=16017795790444455562&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-643wSLTD4gRa3PDmf6O6Dg,Vinci Restaurant,4.5,282.0,"1732 N Halsted St, Chicago, IL 60614, USA",41.9136667,-87.6486508,(312) 266-1199,OPERATIONAL,italian_restaurant,True,True,True,,True,True,True,True,True,False,True,True,True,True,False,True,,,True,True,True,30,50,https://maps.google.com/?cid=4100684684873397099&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-6HlmKi1D4gRjE_b7mlkn5s,"Al & Joe's Foods & Liquors, Inc.",4.5,1085.0,"10348 Addison Ave, Franklin Park, IL 60131, USA",41.943897,-87.884776,(847) 678-6788,OPERATIONAL,sandwich_shop,True,True,True,False,False,True,True,True,True,False,True,True,True,True,False,,True,True,True,True,True,10,20,https://maps.google.com/?cid=11213792003317518220&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-6l6C3g3DogR-VNnnRVKu2g,La Michoacana,4.3,30.0,"7034 S Harlem Ave, Bridgeview, IL 60455, USA",41.7653185,-87.8019121,(708) 546-0674,OPERATIONAL,restaurant,True,False,True,,,True,,,,False,,True,True,True,False,,True,True,True,,,10,20,https://maps.google.com/?cid=7546707057284961273&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-6tlLZM5DogRcidD9WWpagA,Starbucks,4.0,976.0,"6768 W 95th St, Oak Lawn, IL 60453, USA",41.72,-87.7894,(708) 430-8903,OPERATIONAL,coffee_shop,True,True,True,,False,True,False,False,False,False,False,True,True,True,False,True,True,True,True,True,True,1,10,https://maps.google.com/?cid=30022602902939506&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
